DESCRIPTION,LOCATION,MANUFACTURER,MODEL,YEAR,FUEL TYPE,KMS DRIVEN,PRICE
Chevrolet Beat LT model Top end. Power windows and Power steering,Mumbai,Chevrolet,Beat,2011,Petrol,15500,270000
Innova 2.5G (8 seater),Mumbai,Toyota,Innova,2013,Diesel,58000,1150000
Chevrolet beat 2012 model...36000 kms driven,Mumbai,Chevrolet,Beat,2012,Petrol,34000,237999
Toyota Innova diesel 115000 Kms 2012 year,Mumbai,Toyota,Innova,2012,Diesel,115000,750000
Tata Indigo ECS in excellent condition,Mumbai,Tata,Indigo Ecs,2012,Diesel,40000,190000
T permit Toyota Innova diesel awsome condition,Mumbai,Toyota,Innova,2014,Diesel,54000,1125000
Neno Car in excellent condition,Mumbai,Tata,Nano,2011,Petrol,19000,60000
Honda White Civic Manual For Resale,Mumbai,Honda,Civic,2010,Petrol,70000,350000
Bmw 3 Series 320d (make Year 2010) (diesel),Mumbai,BMW,3 Series,2010,Diesel,67000,1151000
Maintained T-Permit Tata Manza Car for Sale.,Mumbai,Tata,Manza,2012,Diesel,104000,250000
Tata manza only use 30000km,Mumbai,Tata,Manza,2011,Petrol,30000,230000
Volkswagen Polo diesel 60000 Kms 2010 year,Mumbai,Volkswagen,Polo,2010,Diesel,60000,300000
2015 Maruti Suzuki Eeco petrol 20400 Kms,Mumbai,Maruti Suzuki,Eeco,2015,Petrol,20400,360000
Honda City 1.5 V At (make Year 2011) (petrol),Mumbai,Honda,City,2011,Petrol,48607,550000
Honda City VMT white Color,Mumbai,Honda,City,2010,Petrol,62000,400000
Toyota Corolla Altis 1.8V AT 2011 Pearl White,Mumbai,Toyota,Corolla Altis,2011,Petrol,73800,650000
BMW 5 Series petrol 58000 Kms 2010 year,Mumbai,BMW,5 Series,2010,Petrol,58000,1000000
2011 Toyota Etios petrol 49000 Kms,Mumbai,Toyota,Etios,2011,Petrol,49000,370000
New Xcent Base ABS for t-permit,Mumbai,Hyundai,Xcent,2016,Diesel,1,720000
VOLKS WAGEN 1.2L Comfortline-2013 for genuine byres.,Mumbai,Volkswagen,Polo,2013,Diesel,44000,475000
Hyundai I20 Asta 1.4 Crdi (make Year 2012) (diesel),Mumbai,Hyundai,I20,2012,Diesel,50000,415000
Hyundai I10 petrol 45000 Kms 2011 year,Mumbai,Hyundai,I10,2011,Petrol,45000,280000
2011 Tata Indica Ev2 petrol 18000 Kms,Mumbai,Tata,Indica Ev2,2011,Petrol,18000,215000
2010 Maruti Suzuki Eeco cng 88000 Kms,Mumbai,Maruti Suzuki,Eeco,2010,CNG & Hybrids,88000,210000
Toyota Innova V,Mumbai,Toyota,Innova,2013,Diesel,96000,1250000
Alto Car For Sale,Mumbai,Maruti Suzuki,Alto,2014,Petrol,8000,250000
Volkswagen Vento diesel 60000 Kms 2011 year,Mumbai,Volkswagen,Vento,2011,Diesel,60000,415000
Mahindra Xuv500 diesel 150000 Kms 2012 year,Mumbai,Mahindra,Xuv500,2012,Diesel,150000,768000
Second Hand Innova,Mumbai,Toyota,Innova,2011,Diesel,80,850000
Final offer for White mobilio in good condition with 4 years warranty,Mumbai,Honda,Mobilio,2014,Diesel,50000,745000
ertiga vdi 2012,Mumbai,Maruti Suzuki,Ertiga,2012,Diesel,85000,570000
Mahindara Scorpio vlx top and model xtera tayer unusual I'm 2th owners,Mumbai,Mahindra,Scorpio,2011,Diesel,79000,615000
Skoda fabia diesel car,Mumbai,Skoda,Fabia,2010,Diesel,90500,250000
2010 Maruti Swift ZXi,Mumbai,Maruti Suzuki,Swift,2010,Petrol,23000,375000
2010 Alto K10,Mumbai,Maruti Suzuki,Alto,2010,Petrol,26000,200000
Audi Q7 3.0 Tdi Quattro Premium (make Year 2011) (diesel),Mumbai,Audi,Q7,2011,Diesel,92000,3500000
Mahindra Scorpio diesel 51200 Kms 2010 year,Mumbai,Mahindra,Scorpio,2010,Diesel,51200,650000
Mahindra Xuv500 W10 (make Year 2015) (diesel),Mumbai,Mahindra,Xuv500,2015,Diesel,43500,1495000
T parmit Maruti Suzuki Wagon R cng 70000Kms 2011 year,Mumbai,Maruti Suzuki,Wagon R,2011,CNG & Hybrids,70000,220000
Maruti Suzuki Wagon R 1.0 petrol 7300 Kms 2011 year,Mumbai,Maruti Suzuki,Wagon R 1.0,2011,Petrol,7300,340000
Mahindra Xuv500 Xuv500 W8 (make Year 2013) (diesel),Mumbai,Mahindra,Xuv500,2013,Diesel,45000,1100000
Bmw 5 Series 5 Series 520d Luxury Line (make Year 2011) (die,Mumbai,BMW,5 Series,2011,Diesel,66500,2450000
Ford Ecosport Titanium 1.5 Tdci (opt) (make Year 2013) (dies,Mumbai,Ford,Ecosport,2013,Diesel,36000,790000
Toyota Fortuner Fortuner 3.0 4x2 Mt (make Year 2014) (diesel,Mumbai,Toyota,Fortuner,2014,Diesel,69000,2300000
Toyota Innova Innova 2.5 G 7 Str Bs-iv (make Year 2013) (die,Mumbai,Toyota,Innova,2013,Diesel,65000,1250000
Skoda Rapid 1.5 Tdi Cr Ambition At (make Year 2015) (diesel),Mumbai,Skoda,Rapid,2015,Diesel,15000,1050000
Bmw 3 Series 320d Luxury Line (make Year 2012) (diesel),Mumbai,BMW,3 Series,2012,Diesel,25000,1750000
Hyundai Verna 1.6CRDi - 20K Kms 2012 Top model 1.6SX (O) Manual Trans,Mumbai,Hyundai,Verna,2012,Diesel,21,790000
2012 Mahindra Xuv500 diesel 80955 Kms,Mumbai,Mahindra,Xuv500,2012,Diesel,80955,700000
Maruti Suzuki Sx4 (make Year 2011) (petrol),Mumbai,Maruti Suzuki,Sx4,2011,Petrol,41230,415000
Maruti Suzuki Sx4 (make Year 2011) (petrol),Mumbai,Maruti Suzuki,Sx4,2011,Petrol,41230,415000
Hyundai I10 (make Year 2012) (petrol),Mumbai,Hyundai,I10,2012,Petrol,30760,485000
Honda City (make Year 2011) (petrol),Mumbai,Honda,City,2011,Petrol,57834,530000
2013 Maruti Suzuki Zen Estilo petrol 44079 Kms,Mumbai,Maruti Suzuki,Zen Estilo,2013,Petrol,44379,245000
Maruti Suzuki Swift (make Year 2012) (petrol),Mumbai,Maruti Suzuki,Swift,2012,Petrol,37588,445000
Commercial vehicle - yellow Taxi with self owned,Mumbai,Hyundai,I10,2015,CNG & Hybrids,50000,190000
Nissan Sunny (make Year 2012) (diesel),Mumbai,Nissan,Sunny,2012,Diesel,81266,485000
T Permit Wagon R,Mumbai,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,38000,375000
Maruti Suzuki Ritz Vxi Bs-iv (make Year 2014) (petrol),Mumbai,Maruti Suzuki,Ritz,2014,Petrol,11905,445000
Mercedes-benz M-class (make Year 2013) (diesel),Mumbai,Mercedes-Benz,M Class,2013,Diesel,39480,4750000
Renault Koleos 4x4 At (make Year 2012) (diesel),Mumbai,Renault,Koleos,2012,Diesel,46691,1550000
Nissan Micra 2010 with Push Strat Button XV,Mumbai,Nissan,Micra,2010,Petrol,48000,265000
Volkswagen Vento Comfortline Diesel (make Year 2012) (diesel,Mumbai,Volkswagen,Vento,2012,Diesel,63966,585000
Hyundai I10 Magna 1.2 (make Year 2011) (petrol),Mumbai,Hyundai,I10,2011,Petrol,57729,315000
Toyota Etios Liva V (make Year 2013) (petrol),Mumbai,Toyota,Etios Liva,2013,Petrol,50503,445000
Mercedes-benz Cla-class 200 Petrol Sport (make Year 2015) (p,Mumbai,Mercedes-Benz,Cla Class,2015,Petrol,16485,2995000
Tata Indica V2 diesel 97000 Kms 2012 year,Mumbai,Tata,Indica V2,2012,Diesel,97000,110000
Mercedes-benz C-class 200 Cgi Avantgarde (make Year 2014) (p,Mumbai,Mercedes-Benz,C Class,2014,Petrol,29247,3450000
Maruti Suzuki Ertiga Vdi (make Year 2013) (diesel),Mumbai,Maruti Suzuki,Ertiga,2013,Diesel,44519,785000
Honda City (make Year 2010) (cng),Mumbai,Honda,City,2010,CNG & Hybrids,27407,565000
Volkswagen Phaeton 3.6l (make Year 2010) (petrol),Mumbai,Volkswagen,Phaeton,2010,Petrol,17347,2400000
Hyundai I10 Magna 1.2 (make Year 2011) (petrol),Mumbai,Hyundai,I10,2011,Petrol,57702,315000
2011 Toyota Innova diesel 38000 Kms,Mumbai,Toyota,Innova,2011,Diesel,35000,1300000
Mercedes-benz C-class 200 Cgi Avantgarde (make Year 2015) (p,Mumbai,Mercedes-Benz,C Class,2015,Petrol,14266,3650000
( tata nano 2011 cx with ac available ),Mumbai,Tata,Nano,2011,Petrol,8020,62000
Mercedes-benz E-class E200 Cgi Blue Efficiency (make Year 20,Mumbai,Mercedes-Benz,E Class,2011,Petrol,53984,2350000
Maruti Suzuki A-star Zxi (make Year 2011) (petrol),Mumbai,Maruti Suzuki,A Star,2011,Petrol,32691,335000
Toyota Corolla Altis G Diesel (make Year 2010) (petrol),Mumbai,Toyota,Corolla Altis,2010,Petrol,82691,495000
Mercedes-benz C-class 200 Cgi Elegance (make Year 2014) (pet,Mumbai,Mercedes-Benz,C Class,2014,Petrol,6304,3750000
Hyundai I20 Asta 1.2 (o) (make Year 2012) (petrol),Mumbai,Hyundai,I20,2012,Petrol,20757,495000
Honda City 1.5 V At (make Year 2010) (petrol),Mumbai,Honda,City,2010,Petrol,64034,495000
Mahindra xylo Model No:-E4 (RED COLOUR),Mumbai,Mahindra,Xylo,2011,Diesel,145000,400000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2011) (petrol),Mumbai,Ford,Figo,2011,Petrol,29000,225000
2013 Hyundai verna fludic deisel,Mumbai,Hyundai,Verna,2013,Diesel,54750,690000
2013 Maruti Suzuki Eeco petrol 20000 Kms,Mumbai,Maruti Suzuki,Eeco,2013,Petrol,20000,275000
Maruti Suzuki Wagon R cng 14000 Kms 2014 year,Mumbai,Maruti Suzuki,Wagon R,2014,CNG & Hybrids,14000,450000
Maruti Suzuki Wagon R 1.0 cng 14000 Kms 2014 year,Mumbai,Maruti Suzuki,Wagon R 1.0,2014,CNG & Hybrids,14000,450000
Skoda Laura Model call,Mumbai,Skoda,Laura,2010,Petrol,98000,550000
Swift Desire Diesle In Good Condition,Mumbai,Maruti Suzuki,Swift Dzire,2012,Diesel,36000,470000
Car very good condition,Mumbai,Hyundai,Verna,2012,Diesel,35000,555555
Chevrolet Beat Lt Petrol (make Year 2010) (petrol),Mumbai,Chevrolet,Beat,2010,Petrol,15000,290000
Maruti Suzuki Swift Dzire petrol 45000 Kms 2012 year,Mumbai,Maruti Suzuki,Swift Dzire,2012,Petrol,45000,450000
2011 Maruti Suzuki Sx4 cng 132000 Kms,Mumbai,Maruti Suzuki,Sx4,2011,CNG & Hybrids,132000,260000
T-permit / tourist car,Mumbai,Maruti Suzuki,Sx4,2011,CNG & Hybrids,100000,275000
Maruti Suzuki Alto petrol 32000 Kms 2011 year,Mumbai,Maruti Suzuki,Alto,2011,Petrol,32000,225000
Skoda Rapid 1.6 Mpi Ambition Plus At (make Year 2012) (petro,Mumbai,Skoda,Rapid,2012,Petrol,29000,499000
Black Volkswagen Vento TDI – 2011 for Sale,Mumbai,Volkswagen,Vento,2011,Diesel,50000,450000
Want to bye new car,Mumbai,Mahindra,Xylo,2011,Diesel,87000,525000
Maruti Suzuki Swift Dzire Ldi Bs-iv (make Year 2012) (diesel,Mumbai,Maruti Suzuki,Swift Dzire,2012,Diesel,94000,475000
Tata Manza Elan Safire Bs-iv (make Year 2010) (petrol),Mumbai,Tata,Manza,2010,Petrol,54000,195000
Maruti Suzuki Ertiga diesel 29000 Kms 2015 year,Mumbai,Maruti Suzuki,Ertiga,2015,Diesel,29000,780000
2011 Maruti Suzuki Swift Dzire diesel 120000 Kms,Mumbai,Maruti Suzuki,Swift Dzire,2011,Diesel,120000,265000
Skoda Octavia Ambition 2.0 Tdi Cr (make Year 2013) (diesel),Mumbai,Skoda,Octavia,2013,Diesel,62000,1250000
Maruti Suzuki Ertiga diesel 48000 Kms 2012 year,Mumbai,Maruti Suzuki,Ertiga,2012,Diesel,48000,570000
Used CAR for sale,Mumbai,Nissan,Micra,2010,Petrol,48000,215000
Toyota Camry W4 At (make Year 2011) (petrol),Mumbai,Toyota,Camry,2011,Petrol,67000,925000
Wanna Sell Urgently Etios Liva GD 2011,Mumbai,Toyota,Etios Liva,2011,Diesel,67000,335000
1 hand car use 2015 aprill modal good condition All pepar valid,Mumbai,Maruti Suzuki,Wagon R,2015,CNG & Hybrids,51200,450000
Chevrolet Beat diesel 1 Kms 2011 year,Mumbai,Chevrolet,Beat,2011,Diesel,1,250000
Ford Endeavour 3.0l 4x4 At (make Year 2011) (diesel),Mumbai,Ford,Endeavour,2011,Diesel,50000,1075000
Maruti Suzuki Wagon R 1.0 (make Year 2013) (cng),Mumbai,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,48400,370000
Toyota Innova diesel 51000 Kms 2014 year,Mumbai,Toyota,Innova,2014,Diesel,51000,1275000
Hyundai Verna Fluidic 1.6 Crdi Sx (make Year 2012) (diesel),Mumbai,Hyundai,Verna,2012,Diesel,42000,625000
Eeco 2010 AC 5 seater with Cng,Mumbai,Maruti Suzuki,Eeco,2010,CNG & Hybrids,41242,220000
2010 Maruti Suzuki Wagon R Duo petrol 53500 Kms,Mumbai,Maruti Suzuki,Wagon R Duo,2010,Petrol,53500,171000
Nano 2010 model,Mumbai,Tata,Nano,2010,Petrol,17057,40000
2013 Maruti Suzuki Wagon R cng 31000 Kms,Mumbai,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,31000,350000
Well maintained diesel DUSTER,Mumbai,Renault,Duster,2017,Diesel,42000,685000
hyundai xcent car sx option top model,Mumbai,Hyundai,Xcent,2014,Petrol,30000,525000
2015 Tata Indigo Ecs Emax 34000 Kms,Mumbai,Tata,Indigo Ecs,2015,CNG & Hybrids,34000,500000
VW Vento 2013 Highline Petrol Manual,Mumbai,Volkswagen,Vento,2013,Petrol,40000,500000
Hyundai Santa Fe 2 Wd Mt (make Year 2011) (diesel),Mumbai,Hyundai,Santa Fe,2011,Diesel,82000,1075000
Tata Nano Twist 2014 Sept Top Model,Mumbai,Tata,Nano,2014,Petrol,21000,145000
2012 Maruti Suzuki Wagon R 1.0 cng 72000 Kms,Mumbai,Maruti Suzuki,Wagon R 1.0,2012,CNG & Hybrids,72000,310000
2016 Tata Indigo Ecs diesel 30000 Kms,Mumbai,Tata,Indigo Ecs,2016,Diesel,30000,200000
Audi A6 3.0 TDI quattro company registered,Mumbai,Audi,A6,2014,Diesel,21000,3699000
Maruti Suzuki Wagon R -2011,Mumbai,Maruti Suzuki,Wagon R 1.0,2011,Petrol,29899,280000
Maruti Ciaz Zxi-2014,Mumbai,Maruti Suzuki,Ciaz,2014,Petrol,29497,845000
Swift vdi new shape,Mumbai,Maruti Suzuki,Swift,2012,Diesel,63070,424786
Maruti Suzuki Swift Dzire 2013 Ldi,Mumbai,Maruti Suzuki,Swift Dzire,2013,Diesel,55000,475000
Tata Indica cng 52000 Kms 2015 year,Mumbai,Tata,Indica,2015,CNG & Hybrids,52000,85000
Tata Indica Ev2 petrol 18000 Kms 2011 year,Mumbai,Tata,Indica Ev2,2011,Petrol,18000,220000
Honda City White 2014 Scratchless,Mumbai,Honda,City,2014,Petrol,14218,711000
Maruti Suzuki Wagon R 1.0 (make Year 2013) (cng),Mumbai,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,48400,370000
Hyundai I10 (make Year 2012) (petrol),Mumbai,Hyundai,I10,2012,Petrol,26500,405000
Maruti Suzuki Ritz (make Year 2010) (petrol),Mumbai,Maruti Suzuki,Ritz,2010,Petrol,25406,375000
Tata Manza Manza Aura Quadrajet Bs-iv (make Year 2012) (dies,Mumbai,Tata,Manza,2012,Diesel,68000,385000
2011 Maruti Suzuki Wagon R petrol 100000 Kms,Mumbai,Maruti Suzuki,Wagon R,2011,Petrol,100000,310000
"Tourist Tata Indica Xeta Gls Cng 2015 Price-3,75,000/.at In Mumbai",Mumbai,Tata,Indica V2 Xeta,2015,CNG & Hybrids,65000,375000
Maruti Suzuki Wagon R petrol 100000 Kms 2011 year,Mumbai,Maruti Suzuki,Wagon R,2011,Petrol,100000,310000
Maruti Suzuki Swift diesel 55864 Kms 2010 year,Mumbai,Maruti Suzuki,Swift,2010,Diesel,55864,351000
Volkswagen Vento petrol 20000 Kms 2011 year,Mumbai,Volkswagen,Vento,2011,Petrol,79000,460000
Innova 2011 model 8 seater,Mumbai,Toyota,Innova,2011,Diesel,81000,785000
Wagon R vxi cng!,Mumbai,Maruti Suzuki,Wagon R,2012,CNG & Hybrids,40000,265000
Honda Brio S Mt (make Year 2012) (petrol),Mumbai,Honda,Brio,2012,Petrol,65000,315000
2010 Maruti Suzuki Swift diesel 850000 Kms,Mumbai,Maruti Suzuki,Swift,2010,Diesel,850000,290000
Maruti Swift Dzire VDI - 2012,Mumbai,Maruti Suzuki,Swift Dzire,2012,Diesel,68000,495000
Toyota Innova 2.5 V 7 Str (make Year 2012) (diesel),Mumbai,Toyota,Innova,2012,Diesel,55000,1095000
Toyota Fortuner 4x2 Automatic - 2013 - FINAL PRICE,Mumbai,Toyota,Fortuner,2013,Diesel,69000,1725000
Excellent low maintenance car,Mumbai,Maruti Suzuki,Wagon R,2015,CNG & Hybrids,15000,451000
Vento Tredline 1.6 Diesel / New Tyers / New Battry / Comp Music System,Mumbai,Volkswagen,Vento,2011,Diesel,55300,455555
Maruti Suzuki Ertiga Zdi (make Year 2015) (diesel),Mumbai,Maruti Suzuki,Ertiga,2015,Diesel,37000,785000
Sigal onar test farti insurans,Mumbai,Maruti Suzuki,Swift Dzire,2011,CNG & Hybrids,59000,295000
2013 Maruti Suzuki Ertiga cng 34000 Kms,Mumbai,Maruti Suzuki,Ertiga,2013,CNG & Hybrids,34000,700000
2010 Maruti Suzuki Swift petrol 35000 Kms,Mumbai,Maruti Suzuki,Swift,2010,Petrol,35000,310000
Hyundai I20 I20 Asta 1.2 (make Year 2010) (petrol),Mumbai,Hyundai,I20,2010,Petrol,50000,400000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Mumbai,Maruti Suzuki,Swift Dzire,2012,Diesel,55000,500000
Maruti Suzuki Wagon R 1.0 Wagon R 1.0 Lxi Cng (make Year 201,Mumbai,Maruti Suzuki,Wagon R 1.0,2012,CNG & Hybrids,30800,340000
Maruti Suzuki Eeco Eeco 5 Str With Htr Cng (make Year 2015),Mumbai,Maruti Suzuki,Eeco,2015,CNG & Hybrids,35000,380000
Chevrolet Beat Beat Ls Diesel (make Year 2011) (diesel),Mumbai,Chevrolet,Beat,2011,Diesel,38000,345000
Maruti Suzuki Wagon R 1.0 Wagon R 1.0 Vxi (make Year 2012) (,Mumbai,Maruti Suzuki,Wagon R 1.0,2012,Petrol,38400,340000
2015 Chevrolet Enjoy diesel 79000 Kms,Mumbai,Chevrolet,Enjoy,2015,Diesel,79000,700000
Maruti Suzuki Eeco Eeco 7 Str (make Year 2013) (petrol),Mumbai,Maruti Suzuki,Eeco,2013,Petrol,37000,325000
Toyota Etios Etios Vx (make Year 2011) (petrol),Mumbai,Toyota,Etios,2011,Petrol,71123,390000
Mahindra Scorpio Scorpio M2di (make Year 2012) (diesel),Mumbai,Mahindra,Scorpio,2012,Diesel,76000,635000
Hyundai I10 petrol 30400 Kms 2011 year,Mumbai,Hyundai,I10,2011,Petrol,30400,380000
Toyota Innova G4,Mumbai,Toyota,Innova,2010,Diesel,70000,850000
Hyundai I10 I10 Magna 1.2 Kappa2 (make Year 2011) (petrol),Mumbai,Hyundai,I10,2011,Petrol,43000,315000
Maruti Suzuki Celerio Celerio Vxi (make Year 2014) (petrol),Mumbai,Maruti Suzuki,Celerio,2014,Petrol,25000,425000
Maruti Suzuki Eeco Eeco 5 Str With Htr Cng (make Year 2012),Mumbai,Maruti Suzuki,Eeco,2012,CNG & Hybrids,38500,325000
Maruti Suzuki Wagon R 1.0 Wagon R 1.0 Lxi Cng (make Year 201,Mumbai,Maruti Suzuki,Wagon R 1.0,2011,CNG & Hybrids,58000,295000
Maruti Suzuki Eeco Eeco 5 Str With A/c+htr (make Year 2015),Mumbai,Maruti Suzuki,Eeco,2015,Petrol,2685,385000
Hyundai I20 I20 Sportz 1.2 (make Year 2010) (petrol),Mumbai,Hyundai,I20,2010,Petrol,58000,370000
Maruti Suzuki Ritz Ritz Lxi Bs-iv (make Year 2011) (petrol),Mumbai,Maruti Suzuki,Ritz,2011,Petrol,59000,310000
Zen Estilo Car in good condition for sale,Mumbai,Maruti Suzuki,Zen Estilo,2012,Petrol,30000,270000
Toyota Innova diesel 233080 Kms 2011 year,Mumbai,Toyota,Innova,2011,Diesel,233080,635000
Nissan Terrano Xv D Thp Premium 110 Ps (make Year 2013) (die,Mumbai,Nissan,Terrano,2013,Diesel,46313,945000
Maruti swift Dzeir vdi,Mumbai,Maruti Suzuki,Swift Dzire,2012,Diesel,74326,425000
2014 Skoda Rapid diesel 25000 Kms,Mumbai,Skoda,Rapid,2014,Diesel,25000,850000
Honda Brio Hardly used only for daily office purpose,Mumbai,Honda,Brio,2013,Petrol,28000,375000
Hyundai Verna (make Year 2011) (diesel),Mumbai,Hyundai,Verna,2011,Diesel,55382,610000
Toyota Innova (make Year 2013) (diesel),Mumbai,Toyota,Innova,2013,Diesel,68000,1125000
Maruti Suzuki Ertiga (make Year 2014) (petrol),Mumbai,Maruti Suzuki,Ertiga,2014,Petrol,30828,735000
Honda Civic (make Year 2012) (petrol),Mumbai,Honda,Civic,2012,Petrol,51134,585000
Maruti Suzuki Wagon R 1.0 (make Year 2013) (cng),Mumbai,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,41695,370000
Maruti Suzuki Sx4 (make Year 2011) (petrol),Mumbai,Maruti Suzuki,Sx4,2011,Petrol,50919,410000
Hyundai Elite I20 magna 1.4diesel 21000 Kms 2016 year,Mumbai,Hyundai,Elite I20,2016,Diesel,21000,700000
2011 toyota etios G petrol class condition,Mumbai,Toyota,Etios,2011,Petrol,60000,325000
Ford Figo Diesel 1.4,Mumbai,Ford,Figo,2013,Diesel,19700,410000
2010 Maruti Suzuki Ritz diesel 57000 Kms,Mumbai,Maruti Suzuki,Ritz,2010,Diesel,57000,285000
Fiat Grand Punto (make Year 2010) (petrol),Mumbai,Fiat,Grand Punto,2010,Petrol,64237,280000
Volkswagen Vento (make Year 2011) (diesel),Mumbai,Volkswagen,Vento,2011,Diesel,75136,460000
Mercedes-Benz C200 Avantgarde 2013 November,Mumbai,Mercedes-Benz,C Class,2013,Petrol,22500,2210000
Maruti swift Vdi,Mumbai,Maruti Suzuki,Swift,2010,Diesel,86000,311000
2010 Volkswagen Polo petrol 30000 Kms,Mumbai,Volkswagen,Polo,2010,Petrol,30000,380000
2014 Honda Crv petrol 17500 Kms,Mumbai,Honda,Crv,2014,Petrol,17500,2200000
Top model 1.4 litre second owner..gr8 condition,Mumbai,Fiat,Grand Punto,2010,Petrol,47000,165000
Honda City petrol 30538 Kms,Mumbai,Honda,City,2012,Petrol,30538,650000
Honda Civic 1.8v Mt (make Year 2010) (petrol),Mumbai,Honda,Civic,2010,Petrol,62657,450000
2012 Model Chervolet Optra,Mumbai,Chevrolet,Optra Magnum,2012,Diesel,54000,300000
Doctor Owned Tata Manza Safire Abs CNG 2010 Single Owner,Mumbai,Tata,Manza,2010,CNG & Hybrids,47000,279000
Maruti Suzuki Ertiga CNG - Fixed PRICE,Mumbai,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,45000,641000
Mahindra Xuv500 W8 (make Year 2014) (diesel),Mumbai,Mahindra,Xuv500,2014,Diesel,45000,1075000
Mhindra scorpio,Mumbai,Mahindra,Scorpio,2014,Diesel,60000,1100000
2010 Mahindra Bolero diesel 80077 Kms,Mumbai,Mahindra,Bolero,2010,Diesel,80077,499999
Honda City petrol 20800 Kms 2013 year,Mumbai,Honda,City,2013,Petrol,20800,650000
Tata nano cx in good condition,Mumbai,Tata,Nano,2010,Petrol,45000,35000
Honda Civic 2012 white color,Mumbai,Honda,Civic,2012,Petrol,29000,320000
Mahindra xylo E8 in full condition,Mumbai,Mahindra,Xylo,2010,Diesel,45000,550000
Hyundai I10 Magna 1.1 Irde2 (make Year 2013) (petrol),Mumbai,Hyundai,I10,2013,Petrol,14000,375000
Honda Civic 1.8v Mt (make Year 2010) (petrol),Mumbai,Honda,Civic,2010,Petrol,41123,525000
SHINING SILVER i20 option Model 2010 mumbai car PURE PETROL,Mumbai,Hyundai,I20,2010,Petrol,45000,329000
Silver Mahindra XUV500. WDW W8.,Mumbai,Mahindra,Xuv500,2012,Diesel,97000,733000
Honda City petrol 700000 Kms 2011 year,Mumbai,Honda,City,2011,Petrol,700000,399999
Ford Endeavour Hurricane LE/ manual / 2010/ 1 owner,Mumbai,Ford,Endeavour,2010,Diesel,86668,806666
Honda Mobilio S I-dtec (make Year 2014) (diesel),Mumbai,Honda,Mobilio,2014,Diesel,44000,840000
Tata Manza Safire,Mumbai,Tata,Manza,2010,Petrol,81000,149999
Audi A6 with loan,Mumbai,Audi,A6,2010,Diesel,60000,2700000
T permit Maruti Suzuki Wagon R cng 1 Kms 2016 year,Mumbai,Maruti Suzuki,Wagon R,2016,CNG & Hybrids,1,145000
"Thar ,2014,power steeraing,AC,modifed",Mumbai,Mahindra,Thar,2014,Diesel,30000,710000
duster for sale,Mumbai,Renault,Duster,2013,Diesel,57000,700000
single owner 2014 ecco siter cng+ac,Mumbai,Maruti Suzuki,Eeco,2014,Petrol,47000,365000
Tata Nano Twist Xt (make Year 2015) (petrol),Mumbai,Tata,Nano,2015,Petrol,5000,170000
Swift dzire vxi 2014,Mumbai,Maruti Suzuki,Swift Dzire,2014,Petrol,19350,535000
Manendra Xylo E4 model buyed on 2013,Mumbai,Mahindra,Xylo,2013,Diesel,55000,575000
single owner 2011 honda accord golden colour,Mumbai,Honda,Accord,2011,Petrol,71000,825000
2011 Honda city ivtec s model,Mumbai,Honda,City,2011,Petrol,38000,500000
"2013 Verna SX Diesel, Excellent Condition",Mumbai,Hyundai,Verna,2013,Diesel,51000,650000
Chevrolet spark LT,Mumbai,Chevrolet,Spark,2010,Petrol,75500,150000
"skoda laura 2013 sep , 1st owner , diesel",Mumbai,Skoda,Laura,2013,Diesel,44800,811000
Chevrolet Cruze diesel 55500 Kms 2011 year,Mumbai,Chevrolet,Cruze,2011,Diesel,55500,455000
Hyundai i20 automatic,Mumbai,Hyundai,I20,2010,Petrol,84000,395000
Bmw X3 X3 Xdrive 30d M Sport (make Year 2012) (diesel),Mumbai,BMW,X3,2012,Diesel,61000,2800000
2015 BMW X1 diesel 25000 Kms,Mumbai,BMW,X1,2015,Diesel,25000,2400000
2012 Renault Duster diesel 80000 Kms,Mumbai,Renault,Duster,2012,Diesel,80000,725000
Tata Manza petrol 60000 Kms 2010 year,Mumbai,Tata,Manza,2010,Petrol,60000,200000
2013 Maruti Suzuki Ertiga cng 136000 Kms,Mumbai,Maruti Suzuki,Ertiga,2013,CNG & Hybrids,136000,395000
Hyundai xcent for t-permit,Mumbai,Hyundai,Xcent,2016,Diesel,1,720000
2014 Hyundai Verna diesel 39000 Kms,Mumbai,Hyundai,Verna,2014,Diesel,39000,750000
2014 Ford Ecosport diesel 46000 Kms,Mumbai,Ford,Ecosport,2014,Diesel,46000,810000
Ford Figo diesel 67000 Kms 2011 year,Mumbai,Ford,Figo,2011,Diesel,67000,300000
Toyota innova 2015,Mumbai,Toyota,Innova,2015,Diesel,52000,1200000
Ford figo ZXI TDOI,Mumbai,Ford,Figo,2010,Diesel,65000,225000
2013 Renault Duster diesel 56000 Kms,Mumbai,Renault,Duster,2013,Diesel,56000,650000
Audi A8 3.0 L TDI For Good Price,Mumbai,Audi,A8 L,2011,Diesel,41000,5200000
